Site,Plot_ID,Crop,Rep,Treatment (kgN/ha),Sample_Date,Stalk_Population,Total_Fresh_Biomass,Cane_Yield
WT1,1,3R,1,110,30/07/2018,9.97,98.36,78.41
WT1,2,3R,1,150,30/07/2018,11.81,123.38,99.40
WT1,3,3R,1,0,30/07/2018,7.34,71.15,58.68
WT1,4,3R,1,190,30/07/2018,12.53,143.41,122.66
WT1,5,3R,1,70,30/07/2018,12.19,138.13,112.62
WT1,6,3R,2,150,30/07/2018,10.81,134.56,115.48
WT1,7,3R,2,110,30/07/2018,11.5,119.09,97.33
WT1,8,3R,2,70,30/07/2018,11.28,116.57,96.95
WT1,9,3R,2,0,30/07/2018,8.69,107.15,85.22
WT1,10,3R,2,190,30/07/2018,13.78,124.64,100.99
WT1,11,3R,3,190,30/07/2018,10.66,121.95,104.47
WT1,12,3R,3,70,30/07/2018,11.63,106.18,88.66
WT1,13,3R,3,150,30/07/2018,12.16,129.13,109.61
WT1,14,3R,3,110,30/07/2018,11.56,118.45,96.52
WT1,15,3R,3,0,30/07/2018,8.56,77.82,60.48
WT1,16,3R,4,0,30/07/2018,6.84,59.92,48.56
WT1,17,3R,4,190,30/07/2018,12.19,114.83,94.27
WT1,18,3R,4,110,30/07/2018,11.13,131.03,110.91
WT1,19,3R,4,70,30/07/2018,10.44,109.25,92.44
WT1,20,3R,4,150,30/07/2018,11.06,118.74,95.83
WT2,1,3R,1,110,25/07/2018,12.09,117.98,99.65
WT2,2,3R,1,150,25/07/2018,12.63,126.81,106.65
WT2,3,3R,1,190,25/07/2018,10.75,109.89,86.73
WT2,4,3R,1,70,25/07/2018,11.34,100.33,77.90
WT2,5,3R,1,0,25/07/2018,9.19,80.24,64.10
WT2,6,3R,2,70,26/07/2018,12.06,139.39,114.79
WT2,7,3R,2,110,26/07/2018,12,136.00,118.64
WT2,8,3R,2,0,26/07/2018,9.38,85.83,67.71
WT2,9,3R,2,190,26/07/2018,12.16,117.51,93.67
WT2,10,3R,2,150,26/07/2018,11.34,114.19,93.34
WT2,11,3R,3,0,26/07/2018,9.97,110.54,91.01
WT2,12,3R,3,190,26/07/2018,14.03,171.49,143.72
WT2,13,3R,3,110,26/07/2018,11.91,130.97,105.76
WT2,14,3R,3,150,26/07/2018,12.66,117.56,98.07
WT2,15,3R,3,70,26/07/2018,11.16,110.82,89.69
WT2,16,3R,4,190,26/07/2018,12.63,148.69,123.81
WT2,17,3R,4,70,26/07/2018,12.91,159.18,136.61
WT2,18,3R,4,150,26/07/2018,11.53,118.64,99.74
WT2,19,3R,4,0,26/07/2018,10.31,101.98,79.43
WT2,20,3R,4,110,26/07/2018,11.56,111.51,91.03
